# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
20,21,27,41,48,46,3,2,36,7,5,0,15,53,44,29,42,19,22,28,11,47,35,50,51,43,40,55,37,9,24,32,17,54,30,39,52,6,38,12,10,26,4,18,45,34,49,13,33,8,31,1,25,14,23,16 2293.0 45.5 11.0 96200.0 1.4419802943548388 40.23
20,21,17,40,48,36,3,5,2,46,7,28,0,15,37,29,42,19,44,35,11,47,22,43,50,51,41,55,13,9,24,54,16,27,30,39,52,38,53,33,12,10,26,4,18,45,34,25,6,49,8,31,1,14,23,32 2288.0 49.59 12.0 96600.0 1.4107182822580646 40.195
20,21,17,40,48,46,3,5,2,36,7,28,0,15,37,29,42,19,44,35,11,47,22,43,50,51,41,55,53,27,24,32,9,54,30,52,39,38,13,33,12,10,26,4,18,45,34,25,16,8,31,1,14,49,6,23 2096.0 30.499999999999996 15.0 74100.0 1.4212252197580648 42.855000000000004
20,21,17,40,48,36,3,5,46,2,7,0,15,37,28,29,42,19,44,35,11,47,22,50,51,43,41,55,53,27,24,32,9,54,4,39,52,38,13,33,12,10,26,30,18,45,34,25,8,31,1,14,23,49,6,16 2108.0 32.58 15.0 74000.0 1.4494016693548388 42.68
#
17,7,24,1,47,10,5,8,4,39,9,25,43,21,48,18,15,11,27,45,31,33,12,52,19,28,40,13,22,32,51,0,46,29,49,54,41,55,30,44,38,50,3,14,42,36,37,20,53,6,35,23,26,16,34,2 2188.0 57.916000000000004 16.0 80700.0 1.3915532309525154 39.46
4,7,24,1,34,10,33,43,54,25,16,36,27,49,11,37,39,3,5,9,30,31,35,28,12,19,45,40,13,22,32,46,50,55,47,51,41,52,44,38,42,21,0,14,18,15,53,6,20,8,29,2,23,48,17,26 2555.0 41.891999999999996 14.0 132000.0 1.444055671887924 44.622
17,7,24,1,47,10,5,8,4,39,9,25,19,21,48,18,35,11,27,40,28,31,15,12,52,43,45,13,22,32,51,0,29,46,49,54,41,55,44,30,38,50,3,14,42,36,37,53,6,20,33,23,26,16,34,2 2383.0 72.81599999999999 13.0 103700.0 1.3248054545595533 38.595
17,7,24,1,25,10,5,8,4,39,9,47,43,21,48,18,15,11,27,28,31,33,12,52,19,45,40,13,22,32,51,0,29,46,49,54,41,55,44,30,38,50,3,14,42,36,37,20,53,6,35,23,26,16,34,2 2171.0 57.916000000000004 16.0 77800.0 1.391627230952515 39.46
17,7,24,1,47,10,5,8,4,39,9,29,43,21,48,18,15,11,27,28,31,35,12,52,19,45,40,13,22,32,51,0,25,46,49,54,41,55,44,30,38,50,3,53,42,36,37,20,14,6,33,23,26,16,34,2 2218.0 66.016 15.0 83100.0 1.3338902368176178 38.169999999999995
17,7,24,1,47,10,5,8,4,39,9,25,43,21,48,18,15,11,27,28,31,35,12,52,19,40,13,22,32,51,0,45,29,55,49,54,41,46,44,30,38,50,3,14,42,36,37,20,53,6,33,23,26,16,34,2 2182.0 64.416 16.0 79800.0 1.3914692309525156 39.46
17,7,24,1,47,10,5,8,40,4,39,9,25,43,21,48,18,15,11,27,28,31,35,12,52,19,45,13,22,32,51,0,29,46,49,54,41,55,30,44,38,50,3,14,42,36,37,20,53,6,33,23,26,16,34,2 2278.0 55.251999999999995 16.0 90700.0 1.4028900535331603 39.135
17,7,24,1,25,10,5,8,4,39,9,47,43,21,48,18,15,11,27,28,31,35,12,52,19,45,40,13,22,32,51,0,29,46,49,54,41,55,44,30,38,50,3,14,42,36,37,53,20,6,33,23,26,16,34,2 2164.0 64.416 16.0 76800.0 1.3915392309525156 39.46
#
23,38,6,16,41,50,43,28,37,34,31,47,40,15,42,49,46,17,18,8,11,53,7,45,26,30,52,44,1,21,36,14,22,5,20,55,27,25,51,3,35,19,4,48,32,29,12,24,10,2,0,54,39,9,33,13 2264.0 41.45 17.0 93100.0 1.4288622977667496 40.29
23,1,6,16,41,50,28,37,31,53,47,40,15,8,42,49,46,17,18,11,7,45,26,43,34,30,52,44,38,14,36,22,5,20,55,27,25,51,3,35,21,19,48,32,29,12,24,10,9,2,0,13,54,4,33,39 2349.0 63.730000000000004 13.0 104400.0 1.423620002016129 40.82
23,1,6,16,41,50,28,37,43,53,47,31,40,15,42,49,46,17,18,8,11,5,7,45,26,30,52,44,38,21,36,14,22,34,20,55,27,25,51,3,35,19,48,32,29,12,24,10,2,0,13,54,9,4,33,39 2249.0 45.72 16.0 89400.0 1.429142834057072 40.19
23,1,6,16,35,50,28,37,31,53,47,40,15,46,49,42,18,8,41,11,7,45,26,43,34,30,52,44,38,14,36,22,5,20,55,27,25,51,3,17,21,19,48,32,29,12,24,10,9,2,0,13,54,4,33,39 2120.0 34.66 16.0 75500.0 1.364580541718362 40.595
#
12,50,17,26,21,20,36,39,25,43,40,46,51,3,23,35,33,38,44,0,31,47,7,34,19,41,28,16,29,49,8,48,11,5,1,18,15,32,55,2,13,37,9,53,14,22,54,45,24,52,42,27,30,6,10,4 2184.0 45.172 17.0 82400.0 1.335830599927626 41.809999999999995
12,5,17,26,3,36,40,25,43,39,50,46,38,20,23,0,35,51,44,33,31,47,7,34,19,41,28,16,29,49,8,18,11,1,21,48,15,32,55,2,13,37,9,53,14,22,54,45,24,52,42,27,30,6,10,4 2344.0 36.697 15.0 104100.0 1.3546758149813898 40.455
5,17,26,21,3,12,36,40,25,43,39,50,46,38,20,23,34,35,51,44,0,31,47,7,33,19,41,28,16,29,49,8,18,11,1,48,15,32,55,2,13,37,9,53,4,14,22,54,45,52,42,27,30,6,24,10 2399.0 63.872 13.0 106300.0 1.343406175868486 38.65
5,17,26,21,3,36,25,9,39,50,40,46,51,20,23,33,38,35,44,0,31,18,7,34,12,19,28,47,16,49,15,11,1,48,8,32,55,2,41,29,13,37,43,4,53,14,22,54,45,52,42,27,30,6,24,10 2281.0 63.655 15.0 93300.0 1.3387384353287843 38.615
12,5,17,26,21,3,36,40,25,43,39,50,46,38,20,23,35,51,44,33,31,47,7,34,19,41,0,28,16,29,49,8,18,11,1,48,15,32,55,2,13,37,9,53,14,22,54,45,24,52,42,27,30,6,10,4 2184.0 45.172 17.0 83500.0 1.335670599927626 41.809999999999995
#
20,17,35,42,24,25,23,29,33,16,47,49,30,4,53,37,32,10,48,51,1,55,36,50,14,5,9,7,31,12,13,21,3,19,40,11,2,41,38,26,0,46,18,15,6,8,44,22,45,27,52,54,28,43,34,39 2409.0 42.644999999999996 13.0 109600.0 1.3995957273573203 40.495
42,20,17,35,24,25,14,33,16,47,30,10,49,4,28,2,52,51,32,23,36,55,50,7,19,9,1,31,12,5,21,3,13,53,40,11,29,41,38,26,0,46,18,15,6,8,44,22,45,27,48,54,43,37,34,39 2450.0 82.75500000000001 12.0 113200.0 1.4820481464749673 41.684999999999995
42,20,17,35,24,25,13,29,33,16,47,30,23,49,4,53,37,32,10,48,9,1,55,36,50,14,5,7,31,12,51,2,3,19,40,11,21,41,38,26,0,46,18,15,6,8,44,22,45,27,52,54,28,43,34,39 2223.0 51.80200000000001 17.0 86600.0 1.3394878825992558 38.75
42,20,17,25,35,24,13,29,33,16,47,30,23,49,4,53,37,32,10,48,14,1,55,36,50,5,9,7,31,12,51,21,3,19,40,11,2,41,38,26,0,46,6,15,18,8,44,22,45,27,52,54,28,43,34,39 2239.0 49.202000000000005 17.0 88200.0 1.339847882599256 38.75
42,20,17,35,24,13,25,29,33,16,47,30,23,49,4,53,37,32,10,48,14,1,55,36,50,5,9,7,31,12,51,21,3,19,40,11,2,41,38,26,0,46,18,15,6,8,44,22,45,27,52,54,43,28,34,39 2232.0 49.20200000000001 17.0 87800.0 1.339717882599256 38.75
#
35,5,29,4,6,48,40,11,0,34,25,8,10,44,50,30,41,3,49,2,37,9,42,16,13,27,31,55,23,24,1,14,39,19,22,32,47,26,43,38,46,54,20,51,17,52,15,12,7,28,45,36,21,53,33,18 2255.0 44.220000000000006 16.0 94500.0 1.616247161527514 44.614999999999995
35,5,29,4,6,48,40,11,0,34,25,8,10,44,50,16,41,3,49,2,37,42,30,13,27,9,31,55,23,24,1,14,39,19,22,32,47,26,43,38,46,54,20,51,17,52,15,12,45,28,7,36,21,53,33,18 2443.0 36.370000000000005 16.0 119400.0 1.55293230296672 42.44
