# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 3
39,69,4,5,54,42,23,27,49,60,26,45,64,77,36,48,59,41,56,34,19,20,82,6,70,46,68,62,28,73,51,16,55,3,57,71,12,81,85,33,76,74,65,17,44,86,9,15,72,47,78,14,2,7,10,11,84,29,25,88,37,53,80,30,83,52,0,31,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,58,24,79,66,38,87 3442.0 93.33600000000001 20.0
39,36,4,5,49,54,42,23,27,60,26,45,64,77,48,69,59,41,56,34,19,20,82,6,70,46,68,62,28,73,51,16,55,3,57,71,12,81,85,33,76,74,65,17,44,86,9,15,72,47,78,14,7,2,10,11,84,29,25,88,37,53,80,30,83,52,0,31,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,58,24,79,66,38,87 3449.0 61.266000000000005 21.0
39,69,4,5,54,42,23,27,49,60,26,45,64,77,36,48,59,41,56,34,19,20,82,6,17,46,68,62,28,73,51,16,55,3,57,71,12,81,85,33,76,74,65,70,44,86,9,15,72,47,78,14,7,2,10,11,38,84,29,25,88,37,53,80,30,83,52,0,31,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,79,87,24,66,58 3487.0 92.036 20.0
39,69,4,5,54,49,42,23,27,60,26,45,64,77,36,48,59,41,56,34,19,31,82,6,70,46,68,62,28,73,51,16,55,3,57,71,12,76,85,33,81,74,65,17,44,86,9,15,72,25,78,14,7,2,10,11,38,84,29,47,88,37,53,80,30,83,52,0,20,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,79,87,24,66,58 3505.0 88.83600000000001 20.0
39,36,4,5,54,42,23,27,49,60,73,45,64,69,59,48,41,56,34,19,77,31,6,82,46,68,62,17,26,51,16,55,3,57,71,12,81,85,33,76,74,65,70,44,28,86,14,9,15,72,47,78,7,2,10,11,38,84,29,25,88,37,53,80,30,83,52,40,0,20,63,67,22,1,18,50,43,75,32,35,13,21,8,61,79,87,58,66,24 3518.0 58.886 22.0
39,69,4,5,49,54,42,23,27,60,26,45,64,77,36,48,59,41,56,34,19,20,82,6,70,46,68,62,28,73,51,16,55,57,71,12,81,85,33,76,74,65,17,44,86,14,9,15,72,47,3,78,7,2,10,11,84,29,25,88,37,53,80,30,83,52,0,31,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,58,24,79,66,38,87 3530.0 86.73600000000002 19.0
39,69,4,5,54,42,23,27,49,60,26,45,64,77,36,48,59,41,56,34,19,31,82,6,17,46,68,62,28,73,51,16,55,57,71,12,81,85,33,76,74,65,70,44,14,9,15,72,47,78,7,2,10,11,75,38,84,29,25,88,37,86,53,3,80,30,83,79,52,18,0,20,63,67,13,22,1,50,40,43,32,35,8,61,58,24,21,66,87 3563.0 80.936 19.0
39,69,4,5,49,54,42,23,27,60,26,45,64,77,36,48,59,41,56,34,19,20,82,6,70,46,68,62,28,73,51,16,55,57,71,12,81,85,33,76,74,65,17,44,86,14,9,3,15,72,47,78,7,2,10,11,84,29,25,88,37,53,80,30,83,52,0,31,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,58,24,79,66,38,87 3566.0 96.43600000000002 18.0
39,36,4,5,54,42,23,27,49,60,26,45,64,77,48,69,59,41,56,34,19,20,82,6,70,46,68,62,28,73,51,16,55,57,71,12,81,33,76,74,65,17,44,86,14,9,15,72,47,3,78,7,2,10,11,75,38,84,29,88,37,53,80,30,83,52,40,85,0,31,63,67,22,1,18,50,43,25,32,35,13,21,8,61,79,87,58,66,24 3572.0 56.666000000000004 21.0
39,36,4,5,54,27,23,42,49,60,26,45,64,77,48,69,59,41,56,34,19,20,82,6,70,46,68,62,28,73,51,16,55,57,71,12,81,85,33,76,74,65,17,44,14,9,15,86,72,47,78,3,7,2,10,11,38,84,29,25,88,37,53,80,30,83,52,0,31,63,67,13,22,40,1,18,50,43,75,32,35,21,8,61,58,24,79,66,87 3520.0 57.85600000000001 20.0
