# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
32,27,29,30,4,5,17,6,31,20,14,1,13,24,28,19,15,11,26,10,16,18,9,23,2,0,21,7,3,12,25,8,22 1183.0 30.76 11.0 55600.0 0.8609743013337467 22.712
32,27,29,30,4,1,17,6,2,31,20,5,13,24,28,0,19,16,15,11,26,10,18,9,21,23,12,14,3,7,22,8,25 1179.0 23.830000000000002 11.0 56000.0 0.9039905705645161 22.977
32,27,29,30,5,4,14,6,2,31,20,19,1,13,24,28,17,15,11,10,16,18,3,9,23,12,7,26,8,0,21,25,22 1333.0 29.764000000000003 7.0 74600.0 0.7857548833746898 22.347
32,27,29,30,5,4,14,17,1,13,22,20,31,2,8,24,19,16,15,11,26,10,18,9,23,12,7,3,28,21,0,25,6 1346.0 23.099999999999998 8.0 76100.0 0.8049743325062035 22.311999999999998
32,27,29,30,4,5,17,6,31,20,14,1,13,24,28,19,0,15,2,26,10,11,16,18,9,12,7,21,8,25,23,3,22 1210.0 22.44 11.0 58000.0 0.848790820564516 22.977
32,27,29,30,4,5,17,6,2,31,20,1,13,24,28,19,0,15,26,16,22,10,18,9,23,12,7,3,8,21,11,25,14 1197.0 26.119999999999997 11.0 56600.0 0.848704820564516 22.977
32,27,29,30,4,5,17,6,2,31,20,19,1,13,24,28,14,15,11,10,16,18,3,9,23,12,7,26,8,0,21,25,22 1203.0 27.76 10.0 56400.0 0.8066987766749381 23.127
32,27,29,30,4,5,17,6,26,31,19,20,1,13,24,28,14,15,11,10,16,18,9,23,2,0,21,7,3,12,25,8,22 1256.0 28.424000000000003 8.0 65100.0 0.8222213225806453 23.112
32,27,29,30,4,5,17,1,20,31,6,26,23,13,24,28,14,15,11,10,16,18,9,12,2,0,21,7,3,19,25,8,22 1195.0 35.56 11.0 56900.0 0.857643615849876 22.712000000000003
#
31,4,22,30,1,17,18,11,0,13,26,27,32,23,9,10,6,8,2,25,19,3,29,24,21,12,5,14,16,20,7,28,15 1166.0 29.48 11.0 47900.0 0.8087603002481389 23.505
31,4,22,30,16,17,18,15,0,10,9,2,32,23,26,6,8,5,13,29,1,25,21,24,20,28,11,27,12,7,3,14,19 1440.0 25.679999999999996 8.0 87800.0 0.7961211035980149 20.905
31,4,22,30,1,17,18,15,0,10,9,2,32,23,26,6,8,13,19,27,3,25,21,24,20,29,11,14,12,16,7,28,5 1324.0 21.400000000000002 10.0 71000.0 0.7971274615384616 21.4
31,4,22,30,16,17,18,25,0,10,28,2,32,23,26,6,8,5,13,29,1,15,21,24,20,9,12,27,11,7,3,14,19 1366.0 24.44 10.0 78700.0 0.7892143007133995 20.879999999999995
32,18,22,29,1,28,4,11,0,15,27,31,23,6,13,8,2,25,19,3,10,21,14,20,30,9,12,24,16,26,7,17,5 1413.0 33.42400000000001 8.0 84300.0 0.7552076228287842 23.02
13,31,4,22,30,1,17,18,11,0,20,26,2,10,23,21,6,8,25,32,28,27,3,29,24,9,12,5,14,16,7,19,15 1450.0 37.036 9.0 89000.0 0.7618825890198512 20.905
31,4,22,30,1,17,18,11,0,13,26,27,10,23,9,32,6,8,2,25,19,3,21,24,20,29,5,28,12,16,7,14,15 1215.0 29.48 10.0 55100.0 0.756390300248139 21.675
31,4,22,30,10,1,17,18,11,0,13,27,32,23,26,6,9,8,2,25,19,3,21,24,20,29,15,14,12,16,7,28,5 1287.0 28.956 10.0 65700.0 0.8024881612903226 21.85
31,4,22,30,1,17,18,11,0,10,9,27,32,23,26,6,13,8,2,25,19,3,21,24,20,29,15,14,12,16,7,28,5 1198.0 26.48 11.0 53000.0 0.7588863002481391 21.525
31,4,22,30,1,17,18,11,0,13,26,27,32,23,9,10,6,8,2,25,19,3,21,24,20,29,15,14,16,12,7,28,5 1166.0 29.48 11.0 48400.0 0.758692300248139 21.525
31,4,22,30,1,17,18,11,8,0,13,26,27,32,23,9,10,6,2,25,19,3,21,12,20,29,15,14,16,24,7,28,5 1373.0 29.48 10.0 53900.0 0.756140300248139 21.42
#
11,25,19,28,15,2,29,0,22,31,8,21,27,18,3,4,10,1,26,24,32,14,13,23,17,30,9,12,6,20,7,16,5 1138.0 38.344 10.0 47000.0 1.0131000154569891 23.01
11,19,28,15,2,29,0,22,17,31,25,8,27,21,18,24,10,4,20,1,13,26,23,3,14,30,9,12,6,32,7,16,5 1314.0 27.34 7.0 67900.0 1.1157451505376343 23.509999999999998
31,19,28,15,2,3,0,22,25,29,26,10,27,21,18,24,7,11,1,14,32,20,13,23,17,30,4,9,12,6,8,16,5 1273.0 26.75 9.0 62900.0 0.7887225987903225 21.52
11,19,28,15,2,29,0,22,31,25,8,27,26,21,18,20,16,17,32,14,13,23,3,24,30,9,12,6,4,7,1,10,5 1209.0 26.764000000000003 10.0 54900.0 1.022438876344086 22.709999999999997
31,19,28,10,2,14,0,22,25,29,13,15,8,27,21,4,7,11,30,17,32,20,23,3,24,1,9,12,6,26,18,16,5 1313.0 36.044000000000004 8.0 67500.0 0.7303372499999999 21.345
11,25,19,28,15,2,7,0,22,31,8,21,27,18,3,4,10,1,20,24,32,14,13,23,17,30,9,12,6,26,29,16,5 1175.0 36.744 10.0 54000.0 1.0130900154569893 23.01
31,19,28,15,2,3,0,22,25,29,26,10,27,21,18,24,7,11,1,14,32,20,13,23,30,9,12,17,6,4,16,8,5 1275.0 34.75 10.0 62900.0 0.7454383750000001 21.645
11,25,19,28,15,2,29,0,22,31,8,27,21,18,26,4,10,1,32,14,13,17,23,3,24,30,9,12,6,20,7,16,5 1176.0 31.964000000000002 9.0 50900.0 1.098237989247312 23.485
31,19,28,15,2,3,0,22,25,29,30,10,8,27,21,26,7,11,1,14,32,20,13,23,17,24,4,9,12,6,18,16,5 1341.0 29.439999999999998 8.0 70700.0 0.7594066370967743 21.17
