# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
20,5,17,8,26,29,10,12,0,25,28,7,6,30,23,22,4,18,9,24,2,16,14,32,27,19,21,11,3,31,13,15,1 1216.0 22.2 9.0 58200.0 0.8111076612903224 23.637
3,17,25,12,8,16,24,19,23,5,9,28,30,6,7,22,4,18,14,10,21,26,2,27,0,1,20,32,13,11,29,31,15 1344.0 45.760000000000005 7.0 70700.0 0.8202310882352941 25.311
32,5,31,8,7,10,0,25,28,6,12,30,23,4,29,22,16,24,2,9,14,20,26,27,19,21,11,3,17,18,15,1,13 1205.0 46.163999999999994 9.0 53100.0 0.8182915725806452 23.491
32,5,31,8,29,10,12,0,25,28,18,6,30,23,4,7,22,16,24,2,9,14,20,26,27,19,21,11,3,17,13,1,15 1200.0 42.263999999999996 9.0 53700.0 0.7814181350806452 23.491
12,0,31,8,10,5,28,6,18,14,25,32,29,30,23,4,7,22,16,24,2,9,20,26,27,19,15,21,11,3,17,13,1 1229.0 45.264 9.0 57900.0 0.6729148199441688 20.92
20,5,17,8,26,0,25,10,12,28,7,6,30,23,22,4,18,9,24,2,16,14,32,29,27,19,21,11,3,31,13,15,1 1203.0 22.676000000000002 9.0 56000.0 0.8110636612903225 23.637
32,0,31,8,29,10,5,25,28,6,18,4,30,23,7,22,16,24,2,9,14,20,27,12,26,19,21,11,3,17,15,13,1 1197.0 37.464 9.0 53700.0 0.7814181350806453 23.491
#
28,18,23,3,27,24,21,1,32,13,19,17,9,31,14,5,29,22,12,26,0,2,11,30,25,6,15,4,10,16,8,7,20 1085.0 24.1 11.0 40300.0 0.8512257147405486 23.045
28,18,27,3,23,24,21,1,32,13,19,17,20,31,14,5,29,22,12,26,30,0,6,2,11,25,15,8,7,10,16,9,4 1193.0 22.5 11.0 56200.0 0.8663098377244198 22.894999999999996
28,18,23,3,27,24,30,29,1,32,19,12,17,21,9,14,31,11,26,22,0,2,5,13,25,4,15,16,10,8,6,7,20 1282.0 39.14 8.0 66100.0 0.883644753320683 23.23
27,1,18,23,3,28,24,21,32,13,19,17,9,31,14,5,29,22,12,30,0,2,11,26,6,25,15,4,10,16,8,7,20 1204.0 47.864000000000004 11.0 53700.0 0.7115696429900745 21.449999999999996
