# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
17,1,19,15,24,20,23,9,27,16,26,5,3,4,0,14,8,11,28,12,21,10,7,25,18,2,13,22,29,6 1156.0 41.774 8.0 50500.0 0.7138336875000001 23.799
26,17,21,19,4,12,25,3,20,29,6,15,28,1,7,23,2,8,27,13,22,16,11,0,10,9,14,24,18,5 1155.0 28.944 7.0 53700.0 0.7813723588709678 21.449999999999996
28,11,3,0,7,27,10,14,19,23,21,4,20,17,22,12,24,6,18,5,29,2,26,1,25,16,15,13,8,9 1255.0 57.5 6.0 65000.0 0.6411621778846154 21.415
28,17,23,14,9,15,8,19,26,29,0,5,3,4,18,21,20,7,13,11,25,12,6,22,27,10,1,24,16,2 1280.0 29.54 6.0 71400.0 0.7472068230459057 20.884999999999998
26,1,7,16,25,8,24,21,10,29,20,9,27,4,2,0,14,23,17,5,11,19,12,22,28,6,15,18,13,3 1185.0 29.58 6.0 58200.0 0.8079717076612902 21.31
18,13,1,16,3,0,14,19,23,7,10,24,27,2,29,12,28,17,5,26,22,25,4,15,20,21,8,9,6,11 1242.0 41.779999999999994 7.0 63300.0 0.7095036875 23.003999999999998
17,19,28,26,24,3,15,29,6,23,12,9,1,0,18,14,16,11,8,25,27,20,2,4,7,13,10,22,21,5 1159.0 37.86 6.0 50900.0 0.7592547403846154 23.681
18,1,9,11,29,8,12,7,28,19,10,24,27,2,0,14,23,17,5,6,26,22,25,4,15,20,13,21,16,3 1241.0 42.6 5.0 59100.0 0.7841276875 23.728999999999996
18,3,17,2,28,19,25,9,5,4,16,20,0,24,29,14,6,8,13,11,12,10,26,27,7,15,1,22,21,23 1099.0 51.72 11.0 44000.0 0.7040373774813896 22.021
28,24,1,25,3,29,12,7,19,2,10,20,17,0,18,14,16,26,27,6,13,23,5,4,15,21,8,9,22,11 1205.0 91.00000000000001 8.0 56700.0 0.7220231476426798 21.29
28,8,16,1,12,14,13,24,17,9,2,11,0,10,4,27,18,23,6,5,19,26,7,20,21,29,3,22,15,25 1290.0 31.740000000000002 6.0 73900.0 0.7238862771401986 20.884999999999998
11,19,26,2,6,27,16,10,3,1,5,25,23,0,24,20,8,21,29,28,22,7,4,13,17,12,14,9,15,18 1108.0 33.25 6.0 47700.0 0.842332859345351 23.185
7,1,9,11,29,20,8,0,13,25,14,12,4,24,26,23,28,27,21,5,3,15,18,17,6,10,16,19,22,2 1198.0 44.419999999999995 5.0 57900.0 0.7358590060483872 21.259999999999998
24,3,2,17,26,19,15,29,6,23,12,9,1,0,18,14,16,11,8,25,27,20,28,4,7,13,10,22,21,5 1096.0 35.18 8.0 45100.0 0.7733939238523574 23.685
28,8,16,15,24,20,23,9,11,25,4,12,2,7,0,14,5,29,18,1,21,22,13,19,27,17,10,3,26,6 1301.0 30.86 7.0 72800.0 0.7229626667183623 20.884999999999998
7,18,1,16,19,29,28,3,2,24,27,10,13,0,26,5,25,6,15,22,8,14,17,11,23,21,20,9,4,12 1245.0 39.080000000000005 5.0 60200.0 0.8073280060483872 21.259999999999998
26,7,22,2,4,18,19,8,9,25,14,16,12,0,24,29,11,28,27,21,5,3,15,17,6,10,1,13,20,23 1164.0 34.7 9.0 54400.0 0.7244396612903226 21.7
17,1,19,3,13,5,28,23,16,26,9,27,15,0,29,7,11,20,10,22,14,24,2,4,18,6,8,21,12,25 1195.0 28.759999999999998 6.0 55300.0 0.7763716875 23.325
28,11,19,3,15,23,5,25,26,14,1,17,24,9,20,8,6,0,22,18,10,7,16,21,27,12,29,13,4,2 1164.0 59.919999999999995 6.0 51700.0 0.7068408487903225 21.714999999999996
26,7,22,25,19,29,12,28,3,2,24,15,27,10,5,14,8,11,23,4,21,9,16,17,6,0,1,13,20,18 1143.0 40.52 6.0 53200.0 0.7811863588709678 21.435
28,23,14,11,15,4,3,7,19,26,24,2,29,6,8,20,9,0,22,18,16,17,25,5,13,27,10,12,1,21 1234.0 48.14 7.0 62900.0 0.6779993391749379 21.29
1,3,2,23,28,25,14,20,0,15,18,29,24,4,19,6,8,13,11,12,17,10,26,27,7,16,9,22,21,5 1212.0 62.34 7.0 59100.0 0.7032286254652605 21.165
