# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 3
74,3,9,53,60,72,20,75,1,15,12,23,28,13,18,25,16,47,8,57,66,32,45,4,33,44,65,68,29,56,37,30,63,5,34,35,48,69,61,26,62,19,71,58,70,24,27,6,46,50,73,41,59,21,22,52,42,11,31,2,14,67,39,38,55,43,17,51,0,64,10,40,54,7,76,36,49 2939.0 65.34400000000001 22.0
74,3,9,53,60,72,20,75,15,1,12,23,28,18,25,13,16,47,8,57,66,32,45,4,33,62,65,67,29,56,37,30,63,5,34,35,69,61,26,44,19,71,48,58,70,22,46,50,24,6,59,41,21,52,42,73,11,27,31,2,14,68,39,38,55,43,17,51,0,7,64,10,40,36,54,76,49 2961.0 56.842000000000006 20.0
74,3,9,53,60,72,20,75,15,1,12,23,28,18,25,13,16,47,8,57,66,32,45,4,33,62,65,68,29,56,37,30,63,5,34,35,69,61,26,44,19,71,48,58,70,22,24,39,46,50,59,41,21,52,42,73,11,31,2,14,67,6,38,27,55,17,51,7,64,0,40,54,10,76,43,49,36 3027.0 56.74400000000001 20.0
74,3,9,70,60,72,20,44,75,71,1,12,23,28,18,13,16,66,47,39,45,57,8,4,33,62,65,68,29,56,37,30,63,5,34,35,69,61,26,19,25,15,48,58,53,32,27,6,46,50,21,7,52,42,73,11,31,41,2,24,67,14,38,22,55,17,51,59,64,0,40,54,10,76,43,49,36 2999.0 56.77200000000001 19.0
74,3,9,68,60,72,20,75,15,1,12,23,28,64,18,25,13,16,47,48,57,32,45,4,33,44,65,53,56,29,37,30,63,5,34,35,69,42,19,66,71,8,58,70,22,24,39,46,50,59,41,21,52,61,73,11,31,2,14,67,27,6,38,55,43,17,51,0,7,62,10,40,36,54,76,49,26 3033.0 56.47200000000001 17.0
74,3,9,53,60,72,20,75,71,1,54,23,28,36,18,47,13,44,25,45,57,8,4,33,62,65,32,68,29,56,37,30,63,5,34,35,69,61,26,66,19,15,48,58,70,27,24,6,46,50,59,41,21,52,42,73,11,22,31,2,14,67,39,38,55,43,17,51,0,7,64,10,40,16,12,76,49 3045.0 46.61000000000001 19.0
74,3,9,53,60,72,20,75,71,1,54,23,28,36,18,25,13,44,47,45,57,8,4,33,62,65,32,68,29,56,37,30,63,5,34,35,69,61,26,19,16,15,48,58,70,22,24,39,46,50,59,41,52,42,73,21,11,31,2,14,67,6,38,27,55,43,17,51,0,64,10,40,12,7,76,66,49 3094.0 46.160000000000004 19.0
0,3,9,53,60,72,20,75,15,1,12,23,28,66,18,62,13,47,48,73,44,14,41,25,4,33,65,68,29,56,37,30,63,5,34,35,69,61,26,57,19,71,16,58,31,24,27,46,50,59,45,21,52,42,8,11,70,2,32,67,6,38,7,55,74,43,17,51,22,64,10,40,54,39,76,36,49 3094.0 51.66400000000001 18.0
74,3,9,70,60,72,20,44,75,71,1,12,23,28,18,25,13,66,47,46,45,57,8,4,33,62,65,68,29,56,37,30,63,5,34,35,69,61,26,19,16,15,48,58,53,22,27,31,39,50,59,41,21,7,42,73,32,2,14,67,24,6,38,52,55,43,17,51,0,64,10,40,54,11,76,36,49 3053.0 57.194 15.0
0,3,9,53,60,72,20,75,15,1,12,23,28,66,18,62,13,47,48,73,44,14,41,25,4,33,65,68,29,56,37,30,63,5,34,35,69,61,26,57,19,71,16,58,31,24,27,46,50,59,45,21,52,42,8,11,70,2,32,67,6,64,38,7,55,74,43,17,51,22,10,40,54,39,76,36,49 3129.0 46.184000000000005 18.0
0,3,9,53,60,72,20,75,15,1,12,23,28,66,18,62,13,47,48,73,33,14,41,25,4,44,65,68,29,56,37,30,63,5,34,35,69,61,26,57,19,71,16,58,31,24,27,46,50,59,45,21,52,42,8,11,70,2,32,67,6,64,38,7,74,43,17,51,22,55,10,40,54,39,76,36,49 3120.0 49.26400000000001 18.0
74,3,9,70,60,72,20,44,75,71,1,12,23,28,18,25,13,66,47,46,45,57,8,4,33,62,65,68,29,56,37,30,63,5,34,35,69,61,26,19,16,15,48,58,53,22,27,31,39,50,59,41,21,7,42,73,32,2,14,67,24,6,11,38,55,43,17,51,0,64,10,40,54,52,76,36,49 3068.0 52.91600000000001 15.0
74,3,9,70,60,72,20,75,15,1,12,23,28,71,18,25,13,66,47,46,45,57,8,4,33,62,65,68,29,56,37,30,63,5,34,35,69,61,26,19,16,44,48,58,53,22,27,31,39,50,2,41,21,7,42,73,32,59,14,67,24,6,38,52,55,43,17,51,0,64,10,40,54,11,76,36,49 3301.0 63.836000000000006 14.0
74,3,9,70,60,72,20,44,75,71,1,28,23,12,18,13,25,66,45,48,47,57,8,32,33,62,65,67,29,56,37,30,63,5,34,35,69,61,26,16,19,15,4,58,53,22,46,50,59,41,21,39,52,42,73,11,31,2,14,68,24,6,38,27,55,43,17,51,0,64,10,40,54,7,76,36,49 3127.0 47.988 15.0
#
12,68,2,21,0,61,43,69,34,53,73,47,75,74,72,39,19,52,9,67,56,40,10,58,65,26,18,35,30,7,4,23,66,60,14,33,20,54,29,64,41,5,70,57,25,15,32,71,42,11,37,17,62,22,38,63,76,46,48,6,31,8,24,50,13,59,49,45,16,55,1,27,44,36,28,3,51 2815.0 49.63400000000001 19.0
12,68,2,0,61,43,69,21,34,53,73,47,75,74,72,39,19,67,56,9,62,40,10,58,26,25,35,30,65,4,23,66,33,60,7,14,20,54,29,64,41,52,5,70,57,15,32,71,42,11,37,17,1,22,38,63,76,46,48,6,31,8,24,55,13,59,18,49,45,16,44,27,50,36,28,3,51 2808.0 65.632 19.0
12,68,2,0,61,34,43,69,21,53,73,19,47,75,74,72,39,67,56,9,40,10,58,65,26,29,35,30,3,7,4,23,66,60,14,33,20,54,52,64,41,5,70,57,15,32,71,42,11,37,6,17,62,1,38,63,76,46,48,25,31,8,24,55,28,13,59,18,49,44,45,50,36,16,27,51,22 2846.0 48.35200000000001 16.0
12,68,2,0,61,43,21,69,34,53,73,47,75,74,72,39,19,52,67,56,40,10,58,65,26,18,35,30,7,9,4,23,66,60,14,33,20,54,29,64,41,5,70,57,25,15,32,71,42,11,37,17,62,22,38,63,76,46,48,6,31,8,24,50,13,59,49,45,16,1,44,27,55,36,28,3,51 2827.0 48.42000000000001 19.0
12,68,2,0,61,43,21,69,34,53,73,47,75,74,72,39,19,52,67,56,40,10,58,65,26,9,18,35,30,7,4,23,66,60,14,33,20,54,29,64,41,5,70,57,15,32,71,42,11,37,17,62,22,38,63,76,46,48,6,31,8,24,50,13,59,49,25,45,16,55,1,27,44,36,28,3,51 2823.0 49.63400000000001 18.0
12,68,2,0,61,69,43,21,34,53,73,47,75,74,72,39,19,67,56,9,40,10,58,65,26,3,35,30,7,4,23,66,60,14,33,20,54,29,52,64,41,5,70,57,15,32,71,42,11,37,6,17,62,1,38,63,76,46,48,25,31,8,24,55,28,13,59,18,49,44,45,50,36,16,27,51,22 2824.0 55.552000000000014 16.0
12,68,2,0,61,21,43,69,34,53,73,47,75,74,72,39,19,52,9,67,56,40,10,58,65,26,18,35,30,7,4,23,66,60,20,14,33,5,54,29,64,41,70,57,25,15,32,71,42,37,6,17,62,13,1,38,63,76,46,48,11,31,8,24,55,28,49,45,16,44,3,50,36,59,27,22,51 2902.0 44.31400000000001 18.0
12,68,2,0,61,34,43,69,21,53,73,19,47,75,74,72,39,67,56,9,40,10,58,65,26,25,35,30,13,7,4,23,66,60,14,33,20,54,29,52,64,41,5,70,57,15,32,71,42,11,37,6,17,62,1,38,63,76,46,48,3,31,8,24,55,28,49,45,16,44,18,50,36,59,27,51,22 2887.0 46.552000000000014 15.0
