# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 3
62,51,46,38,6,27,30,47,63,79,21,77,29,26,23,0,52,40,39,18,76,13,67,22,34,1,2,35,4,73,78,48,10,15,53,55,8,32,11,45,50,33,28,7,42,12,69,24,72,61,58,19,64,36,66,56,14,65,9,60,20,31,70,16,81,37,17,68,49,43,25,57,3,59,5,54,44,71,75,80,74,41 3236.0 73.64000000000001 17.0
62,51,46,38,6,27,30,47,79,69,77,29,0,26,23,52,39,40,21,18,76,4,13,67,22,34,1,35,2,73,48,10,15,72,53,55,8,11,45,50,32,33,28,7,42,78,12,63,24,61,58,19,64,80,36,66,14,56,20,37,9,31,25,70,16,81,17,68,49,43,60,57,3,59,5,54,44,71,75,65,74,41 3300.0 59.298 18.0
62,51,46,38,6,27,30,47,63,79,69,77,29,0,26,23,52,40,39,18,76,13,67,22,34,1,2,35,4,73,78,48,10,15,72,53,55,8,11,45,50,32,33,28,7,42,21,12,24,61,58,19,64,36,66,56,14,65,9,20,31,25,70,37,16,81,17,68,49,43,60,57,3,59,5,54,44,71,75,80,74,41 3278.0 63.962 17.0
62,51,38,6,27,30,47,46,79,69,77,29,0,26,23,52,39,40,21,18,76,4,13,67,22,34,1,35,2,73,48,10,15,72,53,55,8,11,45,50,32,33,28,7,42,78,12,63,24,61,58,19,64,80,36,66,14,56,20,37,9,31,25,70,16,81,17,68,49,43,60,57,3,59,5,75,54,44,71,65,74,41 3267.0 64.14000000000001 18.0
62,51,46,38,6,27,30,47,63,79,21,77,29,26,23,0,52,40,39,18,76,13,67,22,34,1,2,35,4,73,78,48,10,15,53,55,8,32,11,45,50,33,28,7,42,12,69,24,72,61,58,19,64,36,66,56,14,41,68,57,20,31,37,25,70,16,81,60,49,43,17,9,3,59,5,54,44,71,75,80,74,65 3251.0 73.482 17.0
62,38,6,46,27,30,47,63,79,51,77,29,0,26,23,52,39,40,18,21,76,4,13,67,22,1,35,2,73,78,48,34,10,15,53,55,8,11,45,50,32,33,28,7,42,12,69,24,72,61,58,19,64,80,20,66,56,14,65,9,60,37,31,25,70,16,81,17,49,43,57,36,3,68,59,5,54,44,71,41,74,75 3317.0 63.64000000000001 16.0
62,51,46,38,27,30,69,76,79,4,47,77,29,0,26,23,52,40,39,18,78,13,67,22,34,1,35,2,73,48,10,15,72,53,36,55,11,45,50,32,33,28,7,42,21,12,63,24,61,58,19,64,66,56,14,65,57,60,17,6,20,31,25,70,16,81,37,68,9,43,49,8,3,59,5,54,44,71,75,80,74,41 3330.0 53.49 17.0
62,51,38,6,27,30,47,79,69,77,39,0,63,23,52,40,29,18,46,76,4,13,67,22,34,26,1,35,2,73,78,48,10,15,53,36,55,11,45,50,32,33,28,7,42,8,21,12,19,75,61,58,24,72,66,14,65,41,68,57,20,31,25,70,16,81,37,17,56,60,49,43,9,3,59,5,54,44,71,80,74,64 3382.0 51.43 16.0
62,51,46,38,6,27,30,47,79,69,77,39,0,63,23,52,40,29,18,55,76,4,13,67,22,1,35,2,21,73,78,48,10,15,72,53,8,11,45,50,24,33,28,7,42,26,12,32,61,58,19,64,36,34,14,65,56,9,66,20,37,31,25,70,16,81,17,68,49,43,60,57,3,59,5,54,44,71,75,80,74,41 3399.0 55.31000000000001 14.0
62,51,47,38,27,30,46,79,69,6,77,39,0,63,23,52,40,29,18,21,76,4,13,67,22,34,1,35,2,73,48,10,15,72,53,55,8,11,45,50,32,33,28,7,42,78,12,26,24,61,68,19,64,80,36,66,14,56,20,37,9,25,31,16,81,17,65,60,58,49,70,3,59,5,75,43,54,44,71,57,74,41 3403.0 49.78000000000001 14.0
