# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
52,17,38,11,49,46,5,31,34,43,32,30,41,8,3,20,50,10,0,39,14,13,37,19,29,45,4,12,22,7,53,33,21,15,26,2,25,36,9,23,44,47,16,28,6,54,24,27,18,42,40,51,48,35,55,1 2290.0 38.24000000000001 16.0 97100.0 1.4880955437344912 42.726
52,17,38,11,49,46,5,31,34,43,32,30,41,8,3,20,50,10,0,39,19,14,13,37,29,45,4,2,22,7,53,33,26,51,21,55,25,47,36,9,6,44,16,28,1,54,24,18,42,40,12,48,23,35,15,27 2292.0 73.86500000000001 18.0 93000.0 1.6264670270398482 45.373999999999995
52,17,38,11,49,46,5,31,34,43,32,30,41,8,3,20,50,10,0,39,19,14,13,37,29,45,4,51,22,7,53,33,26,2,21,15,25,47,36,9,6,44,16,28,1,54,24,18,42,40,12,48,23,35,55,27 2287.0 45.599999999999994 16.0 95200.0 1.5362149657258066 43.361000000000004
2,17,25,11,49,46,5,31,34,43,32,30,41,8,19,28,26,10,0,39,13,14,37,45,3,4,38,51,22,6,7,53,33,21,15,52,47,36,9,23,44,16,29,20,50,54,24,18,42,40,1,12,48,35,55,27 2622.0 51.571000000000005 16.0 135600.0 1.4055295524193547 42.786
52,46,17,11,22,49,5,31,34,50,32,30,8,19,20,10,43,39,28,14,13,1,37,45,3,4,38,51,7,53,33,15,25,21,26,2,47,36,29,9,6,44,23,16,42,54,24,18,0,40,41,12,48,35,55,27 2639.0 56.059999999999995 14.0 137800.0 1.3635026716811414 40.080999999999996
52,17,50,49,46,5,31,34,0,32,30,41,8,19,20,10,43,39,28,14,13,1,37,45,3,4,38,51,22,6,7,53,33,21,15,29,2,25,47,9,26,44,23,16,11,54,24,18,42,40,36,12,48,35,55,27 2419.0 41.46 15.0 112000.0 1.4888384883684862 40.528
29,17,25,11,49,46,5,31,34,43,32,30,19,41,8,10,50,20,54,39,13,1,37,45,3,4,38,51,22,6,7,53,33,21,15,52,2,47,36,9,28,44,23,16,26,0,24,18,42,40,14,12,48,35,55,27 2779.0 69.69500000000001 11.0 157800.0 1.5345986373035565 44.185
29,17,50,49,46,5,31,34,0,32,30,41,8,19,20,10,43,39,26,13,1,37,45,3,4,38,51,22,6,7,53,33,21,15,52,2,47,36,9,14,28,44,23,16,11,54,24,18,42,40,25,12,48,35,55,27 2676.0 77.51 13.0 140800.0 1.5448688467741938 42.696
55,17,38,11,49,46,5,31,34,43,32,30,8,3,20,50,10,54,39,19,14,13,37,29,45,4,25,22,6,7,53,33,21,15,52,2,47,36,9,28,44,23,16,26,41,0,24,18,42,40,12,48,1,35,51,27 2609.0 70.71 14.0 130700.0 1.4178983850806453 41.035000000000004
52,25,17,11,49,46,5,31,34,43,32,30,16,8,3,42,20,50,10,0,19,14,13,37,23,45,4,51,22,7,53,6,33,54,41,21,55,47,36,9,1,44,38,29,26,39,24,18,28,40,15,12,48,35,2,27 2504.0 80.42500000000001 13.0 118500.0 1.5134558870967743 41.897999999999996
52,46,17,31,38,5,49,11,19,34,43,32,30,41,8,10,54,39,20,1,13,37,45,3,6,51,4,22,7,53,33,15,25,21,50,29,2,47,36,9,28,44,23,16,26,0,24,18,42,40,14,12,48,35,55,27 2785.0 52.75 14.0 155700.0 1.4662267724875928 42.622
52,46,13,11,25,49,5,31,34,50,32,30,8,45,20,10,43,1,28,39,41,14,17,37,3,4,38,51,22,6,7,53,33,54,19,21,55,47,36,9,23,44,16,29,26,0,24,18,42,40,15,12,48,35,2,27 2567.0 67.06 14.0 127100.0 1.5190614127134725 42.781000000000006
#
12,10,18,53,41,27,11,20,37,30,24,48,39,28,43,50,52,54,7,14,44,2,23,9,15,13,22,40,34,42,35,33,3,21,25,17,16,6,4,55,5,0,36,8,46,29,19,32,26,51,47,1,31,49,38,45 2286.0 51.080000000000005 13.0 96900.0 1.420453116935484 40.849999999999994
12,10,18,41,27,11,20,37,30,24,48,39,28,50,52,54,7,14,44,2,23,9,15,13,22,40,34,53,55,42,35,33,3,21,25,17,6,4,16,5,0,36,8,46,29,19,32,26,51,43,47,1,31,49,38,45 2293.0 47.81999999999999 15.0 100200.0 1.4480853427419353 41.355000000000004
12,10,18,41,27,11,20,37,30,24,48,39,28,43,50,52,54,7,14,44,2,53,23,9,15,13,22,40,34,55,42,35,33,3,21,25,17,6,4,16,5,0,36,8,46,29,19,32,26,51,47,1,31,49,38,45 2296.0 43.019999999999996 13.0 100500.0 1.420129116935484 40.849999999999994
12,10,18,41,27,11,20,37,30,24,48,39,28,43,50,52,54,7,14,44,2,23,9,15,13,22,40,34,42,35,33,3,21,25,53,17,16,6,4,55,5,0,36,8,46,29,19,32,26,51,47,1,31,49,38,45 2290.0 48.22 13.0 98800.0 1.420283116935484 40.849999999999994
12,10,18,41,27,11,20,37,30,24,48,39,28,43,50,52,54,7,14,44,2,53,23,9,15,13,22,40,34,55,42,35,33,3,21,25,17,6,4,16,5,0,36,8,46,29,19,32,26,51,47,1,31,49,38,45 2296.0 45.88 13.0 98600.0 1.420129116935484 40.849999999999994
#
50,13,31,25,42,22,36,14,33,2,40,32,15,55,17,45,47,44,39,24,52,27,12,9,35,5,20,1,54,26,11,10,28,21,46,37,23,53,49,48,18,16,0,29,34,3,8,41,43,19,7,51,4,6,38,30 2262.0 39.61000000000001 16.0 94100.0 1.4968513257827325 41.589999999999996
50,13,31,25,42,22,36,14,33,2,40,32,15,55,17,45,47,44,39,24,52,9,12,27,35,5,20,1,28,26,11,10,54,21,46,37,23,53,49,48,18,16,0,29,34,3,8,41,43,19,7,51,4,6,38,30 2261.0 40.68000000000001 16.0 94300.0 1.4969153257827326 41.589999999999996
25,13,31,42,22,36,14,33,2,40,50,32,15,55,48,45,47,44,39,24,52,9,12,5,23,1,6,28,54,35,26,10,27,21,46,37,11,53,49,17,18,16,0,38,34,3,8,29,19,43,7,51,4,20,30,41 2652.0 49.15200000000001 13.0 147500.0 1.5305432069422515 40.39
50,13,31,25,42,22,36,14,33,2,40,32,15,55,17,45,47,44,39,24,52,27,12,9,35,5,20,1,54,26,11,10,48,21,46,37,23,53,49,28,18,16,0,29,34,3,8,41,43,19,7,51,4,6,38,30 2327.0 39.592000000000006 16.0 102900.0 1.474383924573055 40.97
50,13,31,45,39,42,22,36,14,33,2,40,32,15,52,17,47,44,24,46,9,12,55,5,23,1,29,28,21,26,11,10,54,49,27,6,37,53,18,48,35,16,0,20,34,3,8,41,43,19,7,51,4,25,38,30 2650.0 70.36399999999999 11.0 144200.0 1.451065856611565 44.205
50,13,31,45,39,42,22,36,14,33,2,40,32,15,55,17,47,44,24,52,27,12,9,5,23,1,35,28,25,26,54,10,21,46,37,11,53,49,48,18,20,16,0,29,34,3,8,41,43,19,7,51,4,6,38,30 2667.0 66.764 10.0 146800.0 1.3916245609126405 40.239999999999995
50,13,31,44,22,36,14,33,2,42,40,52,32,15,27,17,45,47,39,24,9,12,55,5,23,1,29,28,21,26,54,10,11,6,46,37,53,49,48,18,16,0,20,34,3,41,43,35,19,8,7,51,4,25,30,38 2543.0 77.772 13.0 154500.0 1.4818448774448987 42.715
50,13,35,25,31,39,36,14,2,40,32,15,52,17,45,44,47,22,24,9,12,55,5,33,1,6,28,21,26,54,10,20,27,11,46,37,23,53,49,48,18,16,0,30,34,3,8,41,43,19,7,51,42,4,38,29 2649.0 70.232 17.0 147100.0 1.4106669814230284 41.56
25,13,31,42,22,36,14,33,2,40,50,32,15,55,17,45,47,44,39,24,52,27,12,9,35,5,20,1,54,23,26,10,28,21,46,37,11,53,49,48,18,16,0,38,34,3,8,29,19,43,7,51,4,6,30,41 2796.0 61.980000000000004 12.0 166400.0 1.47900089893977 41.556
50,13,31,25,42,22,36,14,33,2,40,32,15,55,17,45,47,44,39,24,52,27,12,9,35,5,20,1,54,23,26,10,28,21,46,37,11,53,49,48,18,16,0,38,34,3,8,29,19,43,7,51,4,6,30,41 2269.0 38.636 16.0 94500.0 1.47914578949241 41.531
50,13,35,25,31,22,36,14,33,2,40,32,15,52,17,45,44,47,39,24,9,12,55,5,23,1,6,28,53,26,54,10,20,27,11,46,37,21,49,48,18,16,0,29,34,3,8,41,43,19,7,51,42,4,38,30 2288.0 42.540000000000006 15.0 97200.0 1.5976124365512334 44.771
50,13,35,25,31,39,36,14,2,40,32,15,52,17,45,44,47,22,24,9,12,55,5,23,1,6,28,53,26,54,10,20,27,11,46,49,37,21,33,48,18,16,0,29,34,3,8,41,43,19,7,51,42,4,38,30 2585.0 67.57700000000001 14.0 138300.0 1.5011439373266677 42.915
50,13,26,25,42,22,36,14,33,2,40,32,15,55,17,45,47,44,39,24,52,27,12,9,35,5,20,1,28,31,11,10,54,21,46,37,23,53,49,48,18,16,0,29,34,3,8,41,43,19,7,51,4,6,38,30 2397.0 84.95599999999999 15.0 105900.0 1.4741830979601518 40.905
#
