# Problem = StaticVNFPlacementProblem
# Variables = 1
# Objectives = 6
9,16,29,26,19,13,6,14,0,4,12,23,22,8,11,15,2,27,17,7,20,28,1,3,25,10,21,5,24,18 1017.0 43.38 11.0 33800.0 0.7328055699441687 21.264999999999997
16,26,7,8,13,17,6,0,10,4,12,25,22,28,11,15,9,27,23,14,20,29,1,3,19,2,21,5,18,24 1263.0 26.76 6.0 67000.0 0.9334380821960299 23.410999999999998
16,26,7,29,13,17,6,0,10,4,12,19,23,22,8,11,15,2,20,14,9,28,1,3,25,27,21,5,18,24 1286.0 30.300000000000004 6.0 70000.0 0.8502078898883375 21.962
16,26,2,8,13,17,6,0,10,15,12,25,22,28,11,4,9,27,23,14,20,29,1,3,7,19,21,5,24,18 1273.0 27.939999999999998 8.0 68100.0 0.9098895362903225 23.426
9,20,10,26,19,11,6,16,2,13,12,22,8,18,15,27,23,14,4,25,7,0,24,1,3,17,29,28,21,5 1288.0 27.4 11.0 69500.0 0.7631928224255584 20.95
9,20,25,26,19,14,6,0,2,4,12,18,22,8,29,11,15,13,27,7,10,28,24,1,3,17,23,16,21,5 1186.0 34.3 7.0 56600.0 0.7837865846774196 21.415
9,16,23,5,19,13,6,14,28,20,12,29,22,8,11,15,2,27,4,25,7,0,24,1,3,17,10,26,21,18 1344.0 45.940000000000005 7.0 75500.0 0.7247593990384616 21.490000000000002
9,14,23,26,19,24,6,16,17,4,12,22,29,8,25,11,15,10,13,7,20,28,1,21,27,2,18,3,5,0 1272.0 37.440000000000005 9.0 68400.0 0.7519584257133994 21.074999999999996
9,28,11,19,6,29,20,16,2,13,12,22,8,18,15,27,23,14,4,25,7,0,24,1,3,17,10,26,21,5 1173.0 40.94 9.0 55100.0 0.7070658557692308 21.439999999999998
16,26,7,11,13,17,6,0,10,4,12,25,23,22,8,15,9,27,28,14,20,29,1,3,19,2,21,5,18,24 1360.0 32.54 6.0 81000.0 0.8204072745037222 21.386
9,16,29,26,19,11,6,14,0,4,12,23,22,8,13,15,2,27,17,7,20,28,1,3,25,10,21,5,24,18 1034.0 36.88 11.0 36200.0 0.7327715699441688 21.264999999999997
#
24,0,18,1,23,13,19,11,16,6,28,14,5,29,26,7,9,25,12,20,27,2,3,10,15,17,8,22,21,4 1046.0 37.480000000000004 10.0 39700.0 0.7126324661910671 23.2
4,24,0,14,23,16,6,21,18,28,1,11,17,5,9,26,29,3,13,19,20,27,2,25,10,15,8,7,22,12 1307.0 27.96 6.0 74500.0 0.8324857915632754 22.095999999999997
24,0,18,1,23,7,17,11,14,6,28,13,5,29,26,16,9,3,12,19,20,27,2,25,10,15,8,22,21,4 1052.0 23.85 10.0 42000.0 0.7488287524813895 23.060000000000002
4,24,0,14,23,21,16,6,18,28,1,11,17,5,7,9,26,29,3,13,19,20,27,2,25,10,15,8,22,12 1252.0 20.944 8.0 67200.0 0.8359056575682382 22.125999999999998
24,0,18,1,23,26,7,11,25,6,28,13,5,29,2,16,9,19,20,4,3,12,27,14,10,17,8,22,21,15 1176.0 25.68 10.0 58300.0 0.7447382332506204 22.735
24,0,1,23,28,16,2,6,25,11,17,5,9,26,7,29,3,18,20,4,19,12,27,13,10,15,8,22,21,14 1227.0 34.78 7.0 64000.0 0.7363597171215882 23.255
0,18,1,23,4,7,11,14,6,28,13,5,29,26,16,9,3,12,19,20,27,2,25,24,10,15,8,22,21,17 1373.0 46.54 8.0 83400.0 0.6824098920595533 21.15
24,0,18,1,23,7,17,11,14,6,28,13,5,29,26,16,3,12,19,20,27,2,25,10,15,8,22,21,9,4 1066.0 25.52 9.0 44600.0 0.7709996819168734 23.590000000000003
0,18,14,1,23,26,7,11,10,6,28,13,5,29,16,24,19,20,4,27,2,3,9,25,15,17,8,22,21,12 1417.0 50.120000000000005 10.0 88500.0 0.682986997828784 21.125
0,10,18,1,23,7,17,11,14,6,28,13,5,29,9,26,16,3,12,19,20,27,2,22,15,24,8,25,21,4 1465.0 31.86 8.0 95200.0 0.7987319037427627 21.355
24,0,18,1,23,7,17,11,14,6,28,13,5,29,9,26,16,3,12,19,20,27,2,22,10,15,8,25,21,4 1093.0 23.85 9.0 47100.0 0.7628387822580645 23.67
24,0,18,1,16,23,14,25,11,7,6,28,13,5,29,12,9,19,20,4,27,2,3,10,15,17,8,22,21,26 1213.0 34.620000000000005 8.0 61700.0 0.7950352605459057 23.335000000000004
24,0,18,1,23,13,19,11,16,6,28,14,5,29,7,26,3,17,20,4,2,12,27,25,10,15,8,22,21,9 1065.0 29.8 9.0 42500.0 0.7713596819168734 23.590000000000003
#
27,11,26,9,1,7,24,28,16,17,25,3,2,15,6,8,5,23,13,21,0,4,12,14,29,18,22,10,20,19 1021.0 41.58 10.0 35500.0 0.8889874919871796 22.53
27,11,26,9,1,7,24,28,12,17,25,3,2,15,6,29,8,0,19,13,21,5,4,16,14,22,20,10,18,23 1007.0 34.0 11.0 35500.0 0.9361661196236558 22.855
27,6,11,26,9,1,24,28,16,17,25,3,7,2,15,8,5,23,13,21,0,4,12,14,29,18,22,10,20,19 1257.0 26.05 7.0 66600.0 1.042759446546733 22.889999999999997
27,11,26,9,1,7,24,28,16,5,25,3,2,15,6,8,17,23,13,21,0,4,12,14,29,22,20,10,18,19 1183.0 22.4 8.0 56900.0 1.0724333770678247 23.014999999999997
7,11,26,16,23,19,24,28,12,1,25,3,2,9,6,8,0,27,5,15,13,21,4,17,14,29,22,10,20,18 1276.0 29.020000000000003 8.0 69200.0 0.7467067270471465 20.634999999999998
27,11,26,9,1,7,24,28,16,5,25,3,2,15,6,8,17,23,13,21,0,4,12,14,29,18,22,10,20,19 1090.0 21.52 10.0 45500.0 1.0348897686621175 22.865
27,11,26,9,23,5,24,28,12,17,25,3,7,15,6,8,0,2,19,16,13,21,4,1,14,29,22,10,20,18 1188.0 33.38 7.0 57300.0 0.9840266438172045 22.489999999999995
