w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
1246.0,3808.0,2148.0,3492.0,3569.0,1436.0,1368.0,4148.0,4148.0,1856.0
1223.0,3709.0,2013.0,5053.0,3375.0,1342.0,1397.0,4108.0,4108.0,1863.0
1215.0,3505.0,2050.0,4900.0,3493.0,1454.0,1344.0,4083.0,4285.0,1883.0
1197.0,3808.0,2070.0,4905.0,3282.0,1385.0,1344.0,3976.0,3976.0,1861.0
