DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
8,8,9,12,11,,,,,
10,9,10,11,15,,,,,
6,9,8,13,14,,,,,
8,8,9,12,14,,,,,
8,7,8,11,12,,,,,
8,9,9,12,10,,,,,
8,7,9,12,13,,,,,
6,8,7,11,9,,,,,
9,6,10,14,10,,,,,
9,9,8,12,9,,,,,
,,,,,,,,,
8,8,9,12,12,,8,,,
8,8,9,12,12,,8,,,
,,,,,,,,,
,,,,,,,,,
8,8,8,8,9,9,12,12,12,12
