DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
35.796,52.484,37.965,30.5,38.24,,,,,
36.86,44.524,39.04,57.916,43.02,,,,,
42.82,67.24,41.44,34.66,38.636,,,,,
31.72,51.704,41.16,36.697,38.885,,,,,
35.08,36.56,44.292,42.645,32.505,,,,,
43.66,35.1,39.608,44.22,43.8,,,,,
36.12,48.24,43.86,55.437,32.59,,,,,
48.36,45.14,41.2,38.452,36.585,,,,,
44.244,39.44,47.53,44.905,39.43,,,,,
30.5,51.064,44.14,52.425,35.555,,,,,
,,,,,,,,,
38.516,47.150,42.024,43.786,37.925,,37.925,,,
36.490,46.690,41.320,43.432,38.438,,36.490,,,
,,,,,,,,,
,,,,,,,,,
38.516,36.490,47.150,46.690,42.024,41.320,43.786,43.432,37.925,38.438
