DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
97700,71800,108700,74100,97100,,,,,
95600,85800,133200,77800,100500,,,,,
82300,92300,114800,75500,94500,,,,,
98800,80300,115600,104100,88700,,,,,
82300,102600,123500,109600,104100,,,,,
99000,90100,132500,93900,91900,,,,,
88200,94600,119500,116000,85000,,,,,
93000,93300,121700,86200,123600,,,,,
98800,99100,129700,96500,75500,,,,,
82100,93100,131500,88500,99800,,,,,
,,,,,,,,,
91780,90300,123070,92220,96070,,90300,,,
94300,92700,122600,91200,95800,,91200,,,
,,,,,,,,,
,,,,,,,,,
91780,94300,90300,92700,123070,122600,92220,91200,96070,95800
