DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
54.948,58.49,88.967,78.3,71.63,,,,,
83.81,57.77,71.285,71.038,81.334,,,,,
93.505,63.46,88.84,78.19,73.706,,,,,
47.67,54.71,83.814,76.88,74.454,,,,,
43.87,58.604,89.79,75.654,70.404,,,,,
79.214,58.15,79.38,69.26,62.26,,,,,
89.061,52.2,84.938,80.736,79,,,,,
85.35,64.09,84.688,87.246,78.909,,,,,
84.865,59.84,79.93,71.245,67.92,,,,,
49.088,69.93,74.135,73.85,69.135,,,,,
,,,,,,,,,
71.138,59.724,82.577,76.240,72.875,,59.724,,,
81.512,58.547,84.251,76.267,72.668,,58.547,,,
,,,,,,,,,
,,,,,,,,,
71.138,81.512,59.724,58.547,82.577,84.251,76.240,76.267,72.875,72.668
