DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
37.2,35.712,33.108,31.9,33.532,,,,,
32.75,34.94,32.2,34.5,41.18,,,,,
38.25,30.86,37.392,45.492,32.14,,,,,
33.7,36.712,35.892,35.092,26.26,,,,,
33.62,39.548,41.66,33.12,33.14,,,,,
32.44,37.59,32.632,36.22,32.888,,,,,
37.608,39.14,37.81,44,31.792,,,,,
49.24,34.34,34.792,38.232,32.552,,,,,
49.12,39.208,33.608,40.108,28.208,,,,,
33.95,31.572,32.872,37.85,33.848,,,,,
,,,,,,,,,
37.788,35.962,35.197,37.651,32.554,,32.554,,,
35.575,36.212,34.200,37.035,32.720,,32.720,,,
,,,,,,,,,
,,,,,,,,,
37.788,35.575,35.962,36.212,35.197,34.200,37.651,37.035,32.554,32.720
