DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
27.327,27.5,26.44,27.476,27.027,,,,,
27.06,26.935,24.47,27.012,26.94,,,,,
27.5,26.565,27.32,26.771,27.06,,,,,
25.48,25.97,24.85,27.377,28.389,,,,,
27.06,26.626,26.105,25.055,27.545,,,,,
27.24,24.85,24.855,27.675,27.19,,,,,
27.72,27.06,27.85,27.176,27.296,,,,,
27.067,27.015,27.06,29.057,26.935,,,,,
26.545,27.147,24.595,27.157,26.896,,,,,
27.06,27.112,27.06,25.705,26.82,,,,,
,,,,,,,,,
27.006,26.678,26.061,27.046,27.210,,26.061,,,
27.063,26.975,26.273,27.166,27.044,,26.273,,,
,,,,,,,,,
,,,,,,,,,
27.006,27.063,26.678,26.975,26.061,26.273,27.046,27.166,27.210,27.044
