DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
13,14,16,20,19,,,,,
14,10,17,16,18,,,,,
17,17,15,18,19,,,,,
15,14,13,18,18,,,,,
13,16,15,18,17,,,,,
14,13,16,18,18,,,,,
16,18,16,18,15,,,,,
15,14,15,18,17,,,,,
14,15,16,17,19,,,,,
14,14,15,16,18,,,,,
,,,,,,,,,
15,15,15,18,18,,15,,,
14,14,16,18,18,,14,,,
,,,,,,,,,
,,,,,,,,,
15,14,15,14,15,16,18,18,18,18
