DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
0.701524491,0.758870498,1.466372145,1.42122522,1.488095544,,,,,
0.728927225,0.803965145,1.415852608,1.391627231,1.420129117,,,,,
0.760559175,0.834335369,1.342014089,1.364580542,1.479145789,,,,,
0.724047695,0.746033184,1.416514226,1.354675815,1.445744347,,,,,
0.795696687,0.865624107,1.322900222,1.399595727,1.433574132,,,,,
0.75993812,0.798379847,1.378517317,1.616337162,1.482430652,,,,,
0.846927759,0.706626452,1.462410591,1.400490458,1.480650655,,,,,
0.86114665,0.677369676,1.292233149,1.42259447,1.366721922,,,,,
0.80705767,0.791042564,1.436955068,1.572124342,1.497487114,,,,,
0.745801955,0.727301938,1.466456804,1.430957439,1.476185105,,,,,
,,,,,,,,,
0.773,0.771,1.400,1.437,1.457,,0.771,,,
0.760,0.775,1.416,1.411,1.478,,0.760,,,
,,,,,,,,,
,,,,,,,,,
0.773,0.760,0.771,0.775,1.400,1.416,1.437,1.411,1.457,1.478
