DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
21.324999999999996,22.256,23.325,23.284999999999997,21.415
23.185,23.381,23.784999999999997,21.29,23.67
21.31,23.395,21.464999999999996,21.389999999999997,22.73
21.464999999999996,21.435,21.464999999999996,23.360000000000003,22.505000000000003
20.65,21.31,21.324999999999996,21.589999999999996,23.590000000000003
23.633,21.464999999999996,21.464999999999996,21.464999999999996,21.45
21.464999999999996,23.660000000000004,21.324999999999996,23.800000000000004,23.310000000000002
21.324999999999996,23.133,21.464999999999996,22.645,21.575
21.464999999999996,23.075,21.314999999999998,23.16,23.57
21.464999999999996,22.522000000000002,23.075,21.45,23.325
