DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
28.07,29.52,31.7,30.45,29.06,,,,,
31.86,27.92,29.08,28.878,24.68,,,,,
32.52,22.76,26.79,28.86,28.62,,,,,
26.19,36.93,26.19,29.61,24.53,,,,,
27.84,27.72,30.928,34.48,25.828,,,,,
28.45,28.79,30.92,30.67,26.65,,,,,
30.78,32.62,34.05,21.66,28.79,,,,,
25.46,28.78,28.62,28.57,27.71,,,,,
31.32,28.65,31.19,34.878,25.828,,,,,
28.828,29.5,30.128,25.808,29.72,,,,,
,,,,,,,,,
29.132,29.319,29.960,29.386,27.142,,27.142,,,
28.639,28.785,30.524,29.244,27.180,,27.180,,,
,,,,,,,,,
,,,,,,,,,
29.132,28.639,29.319,28.785,29.960,30.524,29.386,29.244,27.142,27.180
