DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
23.1,23.92,25.52,22.676,28.424,,,,,
23.92,23.92,31.18,24.1,26.48,,,,,
28.05,26.22,23.92,39.144,26.75,,,,,
31.42,23.1,24.14,24.98,23.096,,,,,
23.92,23.92,23.92,26.22,21.28,,,,,
27.08,32.48,23.92,24.044,17.804,,,,,
23.92,23.92,20.54,29.19,18.8,,,,,
32.62,23.92,29.764,26.26,27.46,,,,,
27.424,25.34,28.36,23.06,23.26,,,,,
23.096,24.14,23.1,25.62,23.24,,,,,
,,,,,,,,,
26.455,25.088,25.436,26.529,23.659,,23.659,,,
25.500,23.920,24.030,25.300,23.250,,23.250,,,
,,,,,,,,,
,,,,,,,,,
26.455,25.500,25.088,23.920,25.436,24.030,26.529,25.300,23.659,23.250
