DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
28.944,31.46,28.76,34.95,34.3,,,,,
37.15,36.26,31.4,46.604,23.85,,,,,
30.06,24.48,31.56,38.8,25.2,,,,,
32.44,29.54,31.56,38.8,23.55,,,,,
27.4,29.54,30.06,38.74,25.52,,,,,
31.56,31.56,32.44,31.56,34.12,,,,,
32.44,25.2,30.36,32.804,33.6,,,,,
29.54,31.56,31.56,28.05,31.494,,,,,
31.56,34.74,27.96,31.35,29.02,,,,,
31.56,24.6,30.06,35.14,28.76,,,,,
,,,,,,,,,
31.265,29.894,30.572,35.680,28.941,,28.941,,,
31.560,30.500,30.880,35.045,28.890,,28.890,,,
,,,,,,,,,
,,,,,,,,,
31.265,31.560,29.894,30.500,30.572,30.880,35.680,35.045,28.941,28.890
