DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
77500,84600,84000,66300,62900,,,,,
77500,76000,76600,61600,76300,,,,,
86600,78100,85400,59400,80000,,,,,
91900,93700,91100,67500,70700,,,,,
72800,80600,84000,61900,75800,,,,,
83200,92400,90300,64200,61500,,,,,
86900,84200,92100,67000,71400,,,,,
77900,85400,77300,65400,75700,,,,,
90200,86400,84200,56800,67000,,,,,
80500,81200,90400,66600,75700,,,,,
,,,,,,,,,
82500,84260,85540,63670,71700,,63670,,,
81850,84400,84800,64800,73550,,64800,,,
,,,,,,,,,
,,,,,,,,,
82500,81850,84260,84400,85540,84800,63670,64800,71700,73550
