DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
69.784,62.488,76.93,67.11,71.29,,,,,
79.56,65.84,76.09,83.718,73.556,,,,,
72.718,72.53,68.748,69.768,66.306,,,,,
85.034,69.5,79.308,70.104,76.75,,,,,
84.46,76.544,77.346,66.584,76.44,,,,,
73.96,68.042,80.378,65.83,66.1,,,,,
94.226,67.44,80.456,73.96,86.05,,,,,
77.876,71.87,76.26,67.812,65.436,,,,,
86.81,85.33,79.426,83.708,61.2,,,,,
84.528,89.01,80.412,70.498,78.44,,,,,
,,,,,,,,,
80.896,72.859,77.535,71.909,72.157,,71.909,,,
82.010,70.685,78.327,69.936,72.423,,69.936,,,
,,,,,,,,,
,,,,,,,,,
80.896,82.010,72.859,70.685,77.535,78.327,71.909,69.936,72.157,72.423
