DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
70400,69800,67700,56000,65100,,,,,
72500,68600,64000,40300,53000,,,,,
84100,63900,71200,44400,62900,,,,,
61600,65600,66500,42000,47200,,,,,
72100,70700,72000,43800,41900,,,,,
74800,76700,74500,62900,52600,,,,,
70300,69400,62600,64400,53600,,,,,
65300,70100,75800,55200,55400,,,,,
69200,70800,71500,46900,46500,,,,,
66500,67000,64800,47100,46600,,,,,
,,,,,,,,,
70680,69260,69060,50300,52480,,50300,,,
70350,69600,69450,47000,52800,,47000,,,
,,,,,,,,,
,,,,,,,,,
70680,70350,69260,69600,69060,69450,50300,47000,52480,52800
