DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
63.6,61.322,59.11,55.216,49.78,,,,,
60.308,51.469,54.445,47.152,55.694,,,,,
55.14,65,57.71,53.3,42.884,,,,,
55.164,58.91,57.63,46.77,46.605,,,,,
64.92,52.72,55.99,51.112,44.75,,,,,
56.836,74.292,61.361,56.55,62.35,,,,,
57.17,47.992,59.98,63.435,56.382,,,,,
75.51,53.808,51.724,49.02,47.118,,,,,
58.97,58.02,60.906,64.86,54.72,,,,,
55.031,57.88,54.629,68.26,56.58,,,,,
,,,,,,,,,
60.265,58.141,57.349,55.568,51.686,,51.686,,,
58.070,57.950,57.670,54.258,52.250,,52.250,,,
,,,,,,,,,
,,,,,,,,,
60.265,58.070,58.141,57.950,57.349,57.670,55.568,54.258,51.686,52.250
