DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
30.705,30.366,31.264,32.49,28.565,,,,,
28.61,33.046,28.47,34.315,32.955,,,,,
30.79,28.465,31.906,33.154,33.565,,,,,
32.404,34.15,29.819,31.285,33.034,,,,,
29.602,30.615,28.4,32.68,33.615,,,,,
30.491,31.006,30.872,35.418,30.8,,,,,
33.99,31.26,31.072,33.295,30.629,,,,,
31.64,30.815,30.565,33.915,33.142,,,,,
31.522,31.022,28.47,32.972,30.59,,,,,
30.725,30.407,30.461,33.215,31.37,,,,,
,,,,,,,,,
31.048,31.115,30.130,33.274,31.827,,30.130,,,
30.758,30.910,30.513,33.185,32.163,,30.513,,,
,,,,,,,,,
,,,,,,,,,
31.048,30.758,31.115,30.910,30.130,30.513,33.274,33.185,31.827,32.163
