DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
0.856515526,0.842195151,0.863060887,0.811063661,0.822221323,,,,,
0.844061824,0.842189151,0.746080252,0.851225715,0.7588863,,,,,
0.724947442,0.790559876,0.834462891,0.908597423,0.788722599,,,,,
0.909837073,0.822566762,0.840802449,0.827636314,0.875414261,,,,,
0.834746891,0.842305151,0.868711437,0.871358914,0.83691628,,,,,
0.78119079,0.730913528,0.836905824,0.708402866,0.843929094,,,,,
0.836319824,0.868297437,0.841509151,0.858624712,0.91503015,,,,,
0.824082534,0.842329151,0.772255857,0.873398286,0.836581169,,,,,
0.765542024,0.826745375,0.768096849,0.771447678,0.814861608,,,,,
0.800350565,0.811815935,0.835597824,0.875526707,0.885857625,,,,,
,,,,,,,,,
0.818,0.822,0.821,0.836,0.838,,0.818,,,
0.829,0.834,0.836,0.855,0.837,,0.829,,,
,,,,,,,,,
,,,,,,,,,
0.818,0.829,0.822,0.834,0.821,0.836,0.836,0.855,0.838,0.837
