w1:30,w7:33,w10:41,w3:44,w6:56
23.284999999999997,23.637,27.476000000000003,32.489999999999995,42.855000000000004
21.29,23.045,27.012,34.315,39.46
21.389999999999997,23.316,26.771,33.154,40.595
23.360000000000003,24.188,27.377000000000002,31.285000000000004,40.455
21.589999999999996,23.187,25.054999999999996,32.68,40.495
21.464999999999996,21.564999999999998,27.674999999999997,35.418,44.614999999999995
23.800000000000004,23.111000000000004,27.175999999999995,33.295,38.724999999999994
22.645,23.637,29.057000000000006,33.915,41.559000000000005
23.16,22.86,27.157,32.971999999999994,43.03
21.45,23.317,25.705,33.215,40.11
