DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
1.1223711550868487,1.0876515406327543,1.1055278521505374,1.25060610200485,1.0414449545595534
1.0391032000620348,1.1710120645161288,1.0642878759305212,1.4210224276261374,1.087140894540943
1.1166146228287843,1.0285008517369727,1.1796805690653434,1.2324569187344914,1.3024201108870967
1.1801615211435073,1.155343407361456,1.032146789081886,1.086055864536199,1.2092860457506203
1.0278054550248141,1.1236867599255584,1.085245144540943,1.1296520647350752,1.4007440945512817
1.085031800248139,1.083685193548387,1.0768962600806453,1.1001206438172042,1.1181278542183624
1.1330762382133996,1.1120871935483871,1.0448975024813896,1.1772543171161145,1.13218948573201
1.1802767938804555,1.0972309568858563,1.1653613128101739,1.4315068138440863,1.070368639423077
1.0051410625,0.9779144433933004,1.0637415825062035,1.1830793608870969,1.1074917361972705
1.1302777045595533,1.0471131687344912,1.0851715210918114,1.5574640201612904,1.4029439408602151
