DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
0.7015244908498759,0.758870497828784,1.4663721446960298,1.4212252197580648,1.4880955437344912
0.7289272253928867,0.8039651445409429,1.4158526076302729,1.391627230952515,1.420129116935484
0.7605591754032257,0.8343353688811188,1.3420140885545906,1.364580541718362,1.47914578949241
0.7240476949441687,0.74603318372622,1.416514225806452,1.3546758149813898,1.4457443472394538
0.7956966873449134,0.8656241071133168,1.3229002217741939,1.3995957273573203,1.4335741315136477
0.7599381203473946,0.7983798467741935,1.378517317204301,1.6163371615275142,1.482430651565465
0.8469277589433417,0.706626451923077,1.4624105910815943,1.4004904576612907,1.480650654658079
0.8611466501240694,0.6773696757133995,1.2922331485215055,1.4225944695725683,1.3667219224565759
0.8070576696650125,0.7910425641025642,1.4369550683933001,1.5721243419117645,1.4974871137364374
0.7458019545595533,0.7273019378101737,1.466456803763441,1.4309574388957815,1.4761851051853745
