DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
65.83600000000001,60.655,51.24,55.22,55.056
69.47999999999999,57.769999999999996,54.24,64.015,45.95
54.425000000000004,51.87,61.55,55.575,52.38
60.6,54.71,64.23,52.07,46.95000000000001
66.916,58.604,64.84500000000001,49.919999999999995,50.35
62.61900000000001,69.99,58.898999999999994,57.58599999999999,53.046
49.535999999999994,50.45000000000001,61.33,59.51000000000001,57.74999999999999
58.716,64.09,58.87600000000001,53.06,56.86000000000001
59.99,59.839999999999996,60.82,58.87,55.25
65.31,69.93,60.620000000000005,63.91500000000001,56.99000000000001
