w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
31.459999999999997,23.92,29.52,35.712,52.484,55.728,61.322,60.655,62.48800000000001,58.49000000000001
36.260000000000005,23.919999999999998,27.92,34.94,44.524000000000015,50.35000000000001,51.46900000000001,57.769999999999996,65.84000000000002,57.769999999999996
24.479999999999997,26.220000000000002,22.759999999999998,30.86,67.24000000000001,60.400000000000006,65.0,51.87,72.53000000000002,63.459999999999994
29.54,23.1,36.93,36.712,51.70400000000001,55.760000000000005,58.91000000000001,54.71,69.50000000000001,54.71
29.54,23.919999999999998,27.720000000000002,39.548,36.56,49.49,52.720000000000006,58.604,76.54400000000003,58.604
31.56,32.480000000000004,28.790000000000003,37.59,35.099999999999994,50.43000000000001,74.29200000000002,69.99,68.042,58.15
25.2,23.919999999999998,32.62,39.14,48.24,56.455999999999996,47.99200000000001,50.45000000000001,67.44,52.20000000000001
31.56,23.919999999999998,28.78,34.34,45.14,53.508,53.808,64.09,71.86999999999999,64.09
34.74,25.34,28.65,39.208,39.44,53.776,58.02,59.839999999999996,85.32999999999998,59.839999999999996
24.599999999999998,24.14,29.5,31.572000000000003,51.064,57.150000000000006,57.88,69.93,89.01,69.93
