DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
20.799999999999997,22.910000000000004,41.78,42.855000000000004,42.726
22.910999999999998,22.633,40.265,39.46,40.849999999999994
23.375,22.868,40.25,40.595,41.531
21.351,21.442,40.225,40.455,40.63
22.85,23.598999999999997,38.349999999999994,40.495,40.36
23.69,22.892999999999997,39.712,44.614999999999995,40.836
21.369999999999997,22.661999999999995,40.445,38.724999999999994,40.98
21.950000000000003,20.879999999999995,39.458,41.559000000000005,40.565
20.535,24.025999999999996,40.275,43.03,41.43600000000001
23.118000000000002,21.93,43.076,40.11,41.065
