DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
1678.0,1734.0,1771.0,1614.0,1572.0
1716.0,1690.0,1686.0,1549.0,1676.0
1766.0,1689.0,1752.0,1572.0,1721.0
1815.0,1824.0,1795.0,1615.0,1657.0
1660.0,1727.0,1756.0,1593.0,1670.0
1742.0,1803.0,1791.0,1579.0,1565.0
1778.0,1763.0,1820.0,1601.0,1634.0
1698.0,1762.0,1694.0,1631.0,1691.0
1816.0,1765.0,1735.0,1540.0,1615.0
1719.0,1720.0,1783.0,1603.0,1679.0
