DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
27.327,27.5,26.439999999999998,27.476000000000003,27.027
27.060000000000002,26.934999999999995,24.47,27.012,26.939999999999998
27.5,26.565,27.32,26.771,27.060000000000002
25.479999999999997,25.969999999999995,24.85,27.377000000000002,28.389000000000003
27.060000000000002,26.625999999999998,26.105,25.054999999999996,27.544999999999998
27.24,24.85,24.854999999999997,27.674999999999997,27.189999999999998
27.72,27.060000000000002,27.849999999999998,27.175999999999995,27.296000000000003
27.066999999999997,27.015,27.060000000000002,29.057000000000006,26.935000000000002
26.545,27.146999999999995,24.595,27.157,26.896
27.060000000000002,27.112000000000002,27.060000000000002,25.705,26.82
