DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
30.705,30.366000000000003,31.264,32.489999999999995,28.565
28.61,33.046,28.47,34.315,32.955
30.79,28.465,31.906,33.154,33.565000000000005
32.403999999999996,34.15,29.819000000000003,31.285000000000004,33.034000000000006
29.602,30.615,28.4,32.68,33.615
30.491,31.006,30.872,35.418,30.8
33.989999999999995,31.259999999999998,31.072,33.295,30.629000000000005
31.639999999999997,30.814999999999998,30.564999999999998,33.915,33.142
31.522,31.022,28.47,32.971999999999994,30.59
30.724999999999998,30.406999999999996,30.460999999999995,33.215,31.37
