w1:30,w7:33,w10:41,w3:44,w6:56,w5:77,w2:82,w8:89,w4:109,w9:125
34.95,22.676000000000002,30.45,31.900000000000002,30.499999999999996,43.738,55.216,55.22,67.11,78.30000000000001
46.604000000000006,24.1,28.878,34.5,57.916000000000004,44.410000000000004,47.15200000000001,64.015,83.71799999999999,71.038
38.8,39.144,28.86,45.492,34.66,47.44200000000001,53.30000000000001,55.575,69.768,78.19
38.8,24.98,29.61,35.092000000000006,36.697,47.01800000000001,46.77,52.07,70.104,76.88000000000001
38.739999999999995,26.220000000000002,34.48,33.120000000000005,42.644999999999996,51.584,51.11200000000001,49.919999999999995,66.584,75.654
31.56,24.044,30.67,36.220000000000006,44.220000000000006,42.32000000000001,56.55000000000001,57.58599999999999,65.83,69.26
32.804,29.19,21.66,44.0,55.437000000000005,49.11200000000001,63.435,59.51000000000001,73.96000000000001,80.73600000000002
28.05,26.26,28.57,38.232,38.452,49.058,49.02,53.06,67.81200000000001,87.24600000000001
31.35,23.060000000000002,34.878,40.108000000000004,44.905,39.458000000000006,64.86,58.87,83.70800000000001,71.24500000000002
35.14,25.62,25.808,37.849999999999994,52.425,51.0,68.26,63.91500000000001,70.498,73.85000000000001
