w1:30,w7:33,w10:41,w3:44,w6:56
21.324999999999996,23.706999999999997,27.327,30.705,20.799999999999997
23.185,23.288999999999998,27.060000000000002,28.61,22.910999999999998
21.31,21.015,27.5,30.79,23.375
21.464999999999996,23.175,25.479999999999997,32.403999999999996,21.351
20.65,23.142,27.060000000000002,29.602,22.85
23.633,21.56,27.24,30.491,23.69
21.464999999999996,23.139,27.72,33.989999999999995,21.369999999999997
21.324999999999996,23.225,27.066999999999997,31.639999999999997,21.950000000000003
21.464999999999996,22.48,26.545,31.522,20.535
21.464999999999996,21.81,27.060000000000002,30.724999999999998,23.118000000000002
