w1:30,w7:33,w10:41,w3:44,w6:56
23.325,23.288999999999998,26.439999999999998,31.264,41.78
23.784999999999997,22.185,24.47,28.47,40.265
21.464999999999996,23.142,27.32,31.906,40.25
21.464999999999996,23.480999999999998,24.85,29.819000000000003,40.225
21.324999999999996,23.142,26.105,28.4,38.349999999999994
21.464999999999996,23.139,24.854999999999997,30.872,39.712
21.324999999999996,23.282,27.849999999999998,31.072,40.445
21.464999999999996,20.779999999999998,27.060000000000002,30.564999999999998,39.458
21.314999999999998,22.85,24.595,28.47,40.275
23.075,23.097,27.060000000000002,30.460999999999995,43.076
