w1:30,w7:33,w10:41,w3:44,w6:56
21.415,23.112,27.027,28.565,42.726
23.67,21.525,26.939999999999998,32.955,40.849999999999994
22.73,21.52,27.060000000000002,33.565000000000005,41.531
22.505000000000003,23.045,28.389000000000003,33.034000000000006,40.63
23.590000000000003,22.809999999999995,27.544999999999998,33.615,40.36
21.45,23.314,27.189999999999998,30.8,40.836
23.310000000000002,22.895000000000003,27.296000000000003,30.629000000000005,40.98
21.575,22.913999999999998,26.935000000000002,33.142,40.565
23.57,22.616999999999997,26.896,30.59,41.43600000000001
23.325,23.1,26.82,31.37,41.065
