w1:30,w7:33,w10:41,w3:44,w6:56
0.7837865846774196,0.8222213225806453,0.9925248718982631,1.0414449545595534,1.4880955437344912
0.7628387822580645,0.7588863002481391,0.9028531116625311,1.087140894540943,1.420129116935484
0.9513730309139784,0.7887225987903225,0.9749324032258064,1.3024201108870967,1.47914578949241
0.814942691641731,0.8754142606462559,1.0395417382133993,1.2092860457506203,1.4457443472394538
0.7710376819168734,0.8369162799773756,0.9667713911290325,1.4007440945512817,1.4335741315136477
0.7411472963709678,0.8439290936724566,0.9498775685483871,1.1181278542183624,1.482430651565465
0.7319543325062035,0.9150301503795066,0.9231858295595534,1.13218948573201,1.480650654658079
0.7473346975806453,0.8365811687344913,0.908683365177833,1.070368639423077,1.3667219224565759
0.8052984684139787,0.8148616082506203,0.9738224516129033,1.1074917361972705,1.4974871137364374
0.7757576875,0.8858576246168441,0.9624459736352358,1.4029439408602151,1.4761851051853745
