DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
23.706999999999997,23.282,23.288999999999998,23.637,23.112
23.288999999999998,23.282,22.185,23.045,21.525
21.015,22.470000000000002,23.142,23.316,21.52
23.175,23.288999999999998,23.480999999999998,24.188,23.045
23.142,23.282,23.142,23.187,22.809999999999995
21.56,22.569,23.139,21.564999999999998,23.314
23.139,23.142,23.282,23.111000000000004,22.895000000000003
23.225,23.282,20.779999999999998,23.637,22.913999999999998
22.48,23.157,22.85,22.86,22.616999999999997
21.81,22.912,23.097,23.317,23.1
