DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
3571.0,3389.0,3282.0,3160.0,3127.0
3345.0,3307.0,3426.0,3233.0,2995.0
3266.0,3357.0,3389.0,3141.0,3278.0
3386.0,3434.0,3233.0,3053.0,3056.0
3387.0,3422.0,3189.0,2873.0,3167.0
3284.0,3425.0,3355.0,3259.0,2967.0
3218.0,3371.0,3349.0,2965.0,3048.0
3176.0,3455.0,3416.0,3401.0,3126.0
3405.0,3207.0,3327.0,3101.0,3227.0
3321.0,3363.0,3283.0,3230.0,2969.0
