w1:30,w7:33,w10:41,w3:44,w6:56
54000.0,70400.0,77500.0,115900.0,97700.0
53400.0,72500.0,77500.0,104500.0,95600.0
51000.0,84100.0,86600.0,116900.0,82300.0
57100.0,61600.0,91900.0,102700.0,98800.0
67400.0,72100.0,72800.0,105100.0,82300.0
59000.0,74800.0,83200.0,104900.0,99000.0
56000.0,70300.0,86900.0,108600.0,88200.0
56600.0,65300.0,77900.0,103300.0,93000.0
59800.0,69200.0,90200.0,94000.0,98800.0
60000.0,66500.0,80500.0,114500.0,82100.0
