DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA
37.2,35.712,33.108000000000004,31.900000000000002,33.532000000000004
32.75,34.94,32.2,34.5,41.18000000000001
38.25,30.86,37.392,45.492,32.14
33.699999999999996,36.712,35.892,35.092000000000006,26.259999999999998
33.62,39.548,41.66,33.120000000000005,33.14
32.44,37.59,32.632000000000005,36.220000000000006,32.888000000000005
37.608000000000004,39.14,37.809999999999995,44.0,31.792
49.24000000000001,34.34,34.792,38.232,32.55200000000001
49.12,39.208,33.608,40.108000000000004,28.208
33.95,31.572000000000003,32.872,37.849999999999994,33.848
