DNSGAII-A,DNSGAII-B,NSGAIII,MOEAD,RVEA,,,,,
6,6,6,9,8,,,,,
6,6,6,11,11,,,,,
5,8,6,9,9,,,,,
6,7,6,10,10,,,,,
6,6,6,9,10,,,,,
7,6,6,9,8,,,,,
6,6,7,7,9,,,,,
7,6,6,9,8,,,,,
7,7,6,10,10,,,,,
7,7,7,8,9,,,,,
,,,,,,,,,
6,7,6,9,9,,6,,,
6,6,6,9,9,,6,,,
,,,,,,,,,
,,,,,,,,,
6,6,7,6,6,6,9,9,9,9
